sourceid_uber,name,image_url,Coke_shows,city,food_type,Coke_in_Menu
1c0e38c3-2ffd-43d3-b950-0f308db50480,None,https://d1ralsognjng37.cloudfront.net/7e43b258-42e3-44c0-9b46-6c3285b4407c,Coke,Christchurch,Indian,not-coke
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/c6897631-b074-4b6d-9d21-74bf9e4ce0cf,Coke,Christchurch,American,coke
78df751f-cf26-46c3-9361-b69c91cf2fc6,None,https://duyt4h9nfnj50.cloudfront.net/sku/4f46faafa22a2c02d1a5370a4c2b43b1,Coke,None,None,None
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/87c0ec41-2b03-4684-b4ef-397cf2152916,Coke,Christchurch,American,coke
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/c31dc77a-f923-48c4-9baf-5ac845d22bd3,Coke,Christchurch,American,coke
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/00ad6436-b956-4915-ad80-02899efeb74d,Coke,Christchurch,American,coke
fb040f3b-4ef0-4011-8b50-f296f175eb21,None,https://duyt4h9nfnj50.cloudfront.net/sku/03a6838801c530ef0c97866e57f6b512,Coke,None,None,None
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/a4b8d852-3e34-48c1-b8f4-6e8721c9ae9c,Coke,Christchurch,American,coke
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/4ae93ac6-19ce-4500-abb5-08ff0934d8d9,Coke,Christchurch,American,coke
4221ef3b-7a84-41b0-8ffe-5283a9db64ff,None,https://duyt4h9nfnj50.cloudfront.net/sku/ffc2eb394bc977e1a35703544b924b49,Coke,None,None,None
c84b3c30-994c-4048-a3d6-40d83a1e65bd,None,https://duyt4h9nfnj50.cloudfront.net/sku/2d778041ad811eff0185f76f08eefae6,Coke,Melbourne,Chinese,coke
8b87a1c8-adbc-4a50-b7f1-2e23f18fdbe7,None,https://duyt4h9nfnj50.cloudfront.net/sku/db12c41f10a89bdab301e3f3a1eb097e,Coke,None,None,None
7e7e8e7a-ec65-43f3-8bd6-99a84f09849e,None,https://duyt4h9nfnj50.cloudfront.net/sku/8fc49a706a975bdc75e4a6898e2cd8b6,Coke,None,None,None
45eef775-fe7b-483d-bba7-31e2d7b20ce9,None,https://duyt4h9nfnj50.cloudfront.net/sku/8e16b1d52fce24592faedac404023bb7,Coke,None,None,None
25805f04-67d4-4d3e-b9db-a9f65e9667d1,None,https://d1ralsognjng37.cloudfront.net/c8d169c1-a7f4-4009-9ea7-a19933bf40d3,Coke,None,None,None
c84b3c30-994c-4048-a3d6-40d83a1e65bd,None,https://duyt4h9nfnj50.cloudfront.net/sku/2bd3e9e02d3d84b13d3e666b6d92e089,Coke,Melbourne,Chinese,coke
50c089cf-cb47-4d33-8ef9-4ef3668c6ef9,None,https://duyt4h9nfnj50.cloudfront.net/sku/9064537887367ec34ff98640cf4a6f03,Coke,None,None,None
bcd43261-dd63-4e90-8fd3-4bf548215f58,None,https://duyt4h9nfnj50.cloudfront.net/sku/4d485f19071f32e5034b9d898ba4086c,Coke,None,None,None
158f76e6-3e5b-4c70-8711-ef0f0f960e7c,None,https://duyt4h9nfnj50.cloudfront.net/sku/f5564804fbbcfd1975e4fc5faf0d9acb,Coke,None,None,None
50c089cf-cb47-4d33-8ef9-4ef3668c6ef9,None,https://d1ralsognjng37.cloudfront.net/ac11f551-a997-4c64-8d33-14b5126f5129,Coke,None,None,None
25805f04-67d4-4d3e-b9db-a9f65e9667d1,None,https://d1ralsognjng37.cloudfront.net/e7d73d1f-cc91-4158-a289-a8aca0105971,Coke,None,None,None
41038397-664a-4bcd-ac24-a6758175f7a0,None,https://d2f4h6un6ehgr5.cloudfront.net/UE-1002_GMA.png,Coke,Melbourne,American,coke
41038397-664a-4bcd-ac24-a6758175f7a0,None,https://d2f4h6un6ehgr5.cloudfront.net/UE-5689_GMA.png,Coke,Melbourne,American,coke
45eef775-fe7b-483d-bba7-31e2d7b20ce9,None,https://duyt4h9nfnj50.cloudfront.net/sku/be19f5aa59c2be795968060f546e36c5,Coke,None,None,None
a67f6342-81b5-4903-8c03-6731bcd8e044,None,https://duyt4h9nfnj50.cloudfront.net/sku/7429872704d2f36f1ba762be45315cf8,Coke,Perth,Sandwiches,coke
4221ef3b-7a84-41b0-8ffe-5283a9db64ff,None,https://duyt4h9nfnj50.cloudfront.net/sku/72b5629c12c972117e17cb00cf87c2b6,Coke,None,None,None
00d656d2-b6b6-4fb6-84a1-83d5e6677649,None,https://duyt4h9nfnj50.cloudfront.net/sku/251e1176f07af561a8c1901d0ccc2d34,Coke,Melbourne,American,coke
c84b3c30-994c-4048-a3d6-40d83a1e65bd,None,https://duyt4h9nfnj50.cloudfront.net/sku/db05deb340f94b3e0750e04505d39400,Coke,Melbourne,Chinese,coke
8d4f67bf-920b-4d57-a056-35a0401a2eeb,None,https://duyt4h9nfnj50.cloudfront.net/sku/5671aa8549cef92e0d60dcceb8b6f07d,Coke,None,None,None
0462afc4-8c00-4ee5-a033-ec551c913694,None,https://duyt4h9nfnj50.cloudfront.net/sku/8394632da32934aa25f7d572f243f02d,Coke,None,None,None
ffc8a7e5-e43e-4ba5-a729-ae1f20c4ff13,None,https://duyt4h9nfnj50.cloudfront.net/sku/3e203458551fba56e9a11807031c792b,Coke,None,None,None
